"","ko","pathway","description","log2FoldChange","padj","Factor"
"1","ko:K01596","path:ko00010","Glycolysis / Gluconeogenesis",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"2","ko:K01681","path:ko00020","Citrate cycle (TCA cycle)",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"3","ko:K01596","path:ko00020","Citrate cycle (TCA cycle)",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"4","ko:K13758","path:ko00230","Purine metabolism",1.49314137502884,0.0418056666136702,"Vibrio_Vibrio_vs_Control"
"5","ko:K00643","path:ko00260","Glycine, serine and threonine metabolism",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"6","ko:K01251","path:ko00270","Cysteine and methionine metabolism",2.12686680211553,0.000425583851052341,"Vibrio_Vibrio_vs_Control"
"7","ko:K01206","path:ko00511","Other glycan degradation",3.4670371460073,1.16181037832103e-06,"Vibrio_Vibrio_vs_Control"
"8","ko:K01596","path:ko00620","Pyruvate metabolism",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"9","ko:K01681","path:ko00630","Glyoxylate and dicarboxylate metabolism",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"10","ko:K01681","path:ko00720","Carbon fixation pathways in prokaryotes",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"11","ko:K00643","path:ko00860","Porphyrin and chlorophyll metabolism",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"12","ko:K00643","path:ko01100","Metabolic pathways",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"13","ko:K01251","path:ko01100","Metabolic pathways",2.12686680211553,0.000425583851052341,"Vibrio_Vibrio_vs_Control"
"14","ko:K01596","path:ko01100","Metabolic pathways",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"15","ko:K01681","path:ko01100","Metabolic pathways",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"16","ko:K00643","path:ko01110","Biosynthesis of secondary metabolites",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"17","ko:K01681","path:ko01110","Biosynthesis of secondary metabolites",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"18","ko:K01596","path:ko01110","Biosynthesis of secondary metabolites",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"19","ko:K01596","path:ko01120","Microbial metabolism in diverse environments",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"20","ko:K01681","path:ko01120","Microbial metabolism in diverse environments",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"21","ko:K01681","path:ko01130","Biosynthesis of antibiotics",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"22","ko:K01596","path:ko01130","Biosynthesis of antibiotics",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"23","ko:K01681","path:ko01200","Carbon metabolism",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"24","ko:K01681","path:ko01210","2-Oxocarboxylic acid metabolism",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"25","ko:K01681","path:ko01230","Biosynthesis of amino acids",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"26","ko:K02872","path:ko03010","Ribosome",-2.08426573650999,0.0342715505303949,"Vibrio_Vibrio_vs_Control"
"27","ko:K02873","path:ko03010","Ribosome",-1.80046669129241,1.16181037832103e-06,"Vibrio_Vibrio_vs_Control"
"28","ko:K02980","path:ko03010","Ribosome",-1.8244156144584,0.0158041020824678,"Vibrio_Vibrio_vs_Control"
"29","ko:K02877","path:ko03010","Ribosome",2.25152132383929,0.0358827990570192,"Vibrio_Vibrio_vs_Control"
"30","ko:K03007","path:ko03020","RNA polymerase",-3.65009738218525,9.39675707470748e-05,"Vibrio_Vibrio_vs_Control"
"31","ko:K01596","path:ko03320","PPAR signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"32","ko:K02183","path:ko04014","Ras signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"33","ko:K02183","path:ko04015","Rap1 signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"34","ko:K02183","path:ko04016","MAPK signaling pathway - plant",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"35","ko:K02183","path:ko04020","Calcium signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"36","ko:K02183","path:ko04022","cGMP-PKG signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"37","ko:K02183","path:ko04024","cAMP signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"38","ko:K01596","path:ko04068","FoxO signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"39","ko:K02183","path:ko04070","Phosphatidylinositol signaling system",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"40","ko:K02183","path:ko04114","Oocyte meiosis",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"41","ko:K16186","path:ko04140","Autophagy - animal",2.44449743012134,0.000321133345191669,"Vibrio_Vibrio_vs_Control"
"42","ko:K05754","path:ko04144","Endocytosis",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"43","ko:K17920","path:ko04144","Endocytosis",0.875023264375147,0.00354683995524114,"Menthol_Menthol_vs_Control"
"44","ko:K16186","path:ko04150","mTOR signaling pathway",2.44449743012134,0.000321133345191669,"Vibrio_Vibrio_vs_Control"
"45","ko:K01596","path:ko04151","PI3K-Akt signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"46","ko:K01596","path:ko04152","AMPK signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"47","ko:K19765","path:ko04212","Longevity regulating pathway - worm",-0.499356576718916,1.63015937380704e-05,"Vibrio_Vibrio_vs_Control"
"48","ko:K02183","path:ko04218","Cellular senescence",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"49","ko:K02183","path:ko04261","Adrenergic signaling in cardiomyocytes",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"50","ko:K02183","path:ko04270","Vascular smooth muscle contraction",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"51","ko:K08957","path:ko04310","Wnt signaling pathway",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"52","ko:K08957","path:ko04340","Hedgehog signaling pathway",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"53","ko:K08957","path:ko04341","Hedgehog signaling pathway - fly",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"54","ko:K02183","path:ko04371","Apelin signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"55","ko:K03007","path:ko04623","Cytosolic DNA-sensing pathway",-3.65009738218525,9.39675707470748e-05,"Vibrio_Vibrio_vs_Control"
"56","ko:K10704","path:ko04624","Toll and Imd signaling pathway",1.34518142140808,0.0112154055251957,"Vibrio_Vibrio_vs_Control"
"57","ko:K02183","path:ko04625","C-type lectin receptor signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"58","ko:K02183","path:ko04626","Plant-pathogen interaction",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"59","ko:K05754","path:ko04666","Fc gamma R-mediated phagocytosis",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"60","ko:K02183","path:ko04713","Circadian entrainment",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"61","ko:K02183","path:ko04720","Long-term potentiation",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"62","ko:K02183","path:ko04722","Neurotrophin signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"63","ko:K02183","path:ko04728","Dopaminergic synapse",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"64","ko:K02183","path:ko04740","Olfactory transduction",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"65","ko:K02183","path:ko04744","Phototransduction",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"66","ko:K02183","path:ko04745","Phototransduction - fly",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"67","ko:K02183","path:ko04750","Inflammatory mediator regulation of TRP channels",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"68","ko:K05754","path:ko04810","Regulation of actin cytoskeleton",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"69","ko:K01596","path:ko04910","Insulin signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"70","ko:K02183","path:ko04910","Insulin signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"71","ko:K02183","path:ko04912","GnRH signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"72","ko:K02183","path:ko04915","Estrogen signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"73","ko:K02183","path:ko04916","Melanogenesis",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"74","ko:K01596","path:ko04920","Adipocytokine signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"75","ko:K02183","path:ko04921","Oxytocin signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"76","ko:K02183","path:ko04922","Glucagon signaling pathway",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"77","ko:K01596","path:ko04922","Glucagon signaling pathway",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"78","ko:K02183","path:ko04924","Renin secretion",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"79","ko:K02183","path:ko04925","Aldosterone synthesis and secretion",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"80","ko:K03626","path:ko04928","Parathyroid hormone synthesis, secretion and action",2.17316708232779,1.9773461768046e-05,"Vibrio_Vibrio_vs_Control"
"81","ko:K01596","path:ko04931","Insulin resistance",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"82","ko:K01596","path:ko04964","Proximal tubule bicarbonate reclamation",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"83","ko:K02183","path:ko04970","Salivary secretion",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"84","ko:K02183","path:ko04971","Gastric acid secretion",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"85","ko:K02183","path:ko05010","Alzheimer disease",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"86","ko:K03007","path:ko05016","Huntington disease",-3.65009738218525,9.39675707470748e-05,"Vibrio_Vibrio_vs_Control"
"87","ko:K02183","path:ko05031","Amphetamine addiction",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"88","ko:K02183","path:ko05034","Alcoholism",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"89","ko:K05754","path:ko05100","Bacterial invasion of epithelial cells",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"90","ko:K05754","path:ko05130","Pathogenic Escherichia coli infection",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"91","ko:K05754","path:ko05131","Shigellosis",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"92","ko:K05754","path:ko05132","Salmonella infection",1.17258385849686,0.000817813511295105,"Vibrio_Vibrio_vs_Control"
"93","ko:K02183","path:ko05133","Pertussis",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"94","ko:K02183","path:ko05152","Tuberculosis",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"95","ko:K14753","path:ko05162","Measles",0.872969879497688,9.39675707470748e-05,"Vibrio_Vibrio_vs_Control"
"96","ko:K02183","path:ko05163","Human cytomegalovirus infection",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"97","ko:K08957","path:ko05165","Human papillomavirus infection",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"98","ko:K02183","path:ko05167","Kaposi sarcoma-associated herpesvirus infection",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"99","ko:K02183","path:ko05170","Human immunodeficiency virus 1 infection",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"100","ko:K02183","path:ko05200","Pathways in cancer",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"101","ko:K02183","path:ko05214","Glioma",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
"102","ko:K08957","path:ko05224","Breast cancer",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"103","ko:K08957","path:ko05225","Hepatocellular carcinoma",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"104","ko:K08957","path:ko05226","Gastric cancer",2.29284087433794,0.0344651550701259,"Vibrio_Vibrio_vs_Control"
"105","ko:K02183","path:ko05418","Fluid shear stress and atherosclerosis",-0.567324607526731,0.00516664441789464,"Vibrio_Vibrio_vs_Control"
